size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
8,7.3068,3.2866,2.8772,3.2869,3.7666,3.1180,2.9836,3.8062,1.6627,1.8824,3.4514,2.0507,2.1058,1.8827,1.8829
16,6.0826,2.6358,2.3370,2.4505,2.4728,3.6038,3.8252,5.8438,2.2230,2.4419,4.6042,2.3257,2.3257,3.6062,3.6145
24,6.1569,3.0825,3.0333,3.4240,3.3072,3.9270,4.1126,5.2864,2.9663,2.9767,5.4864,2.7782,2.7776,2.4199,2.5392
32,6.3863,3.4647,3.0524,3.4101,3.2872,4.4499,4.6801,5.8465,2.9556,2.8987,6.1799,2.7772,2.7781,2.8561,2.9006
40,6.9082,4.2893,5.2245,4.3944,4.3388,5.0851,5.5002,6.7215,3.6959,3.6817,7.7865,3.4042,3.4634,5.0103,5.0566
48,7.6044,4.8682,3.8536,4.3448,4.3343,5.7941,6.1863,7.4797,3.6472,3.6390,8.4112,3.4363,3.4638,4.6929,4.6975
56,8.0264,5.3524,3.8225,4.3086,4.2628,6.4748,6.6559,8.6648,3.5839,3.6215,9.2519,3.4074,3.4610,3.0877,3.2290
64,10.2889,7.3486,3.7560,4.2294,4.2018,8.6646,8.6628,10.3005,3.5004,3.5811,10.0228,3.4631,3.4631,3.6208,3.7407
72,12.4053,9.1068,5.1063,5.5912,5.3539,8.4286,8.5986,10.2864,4.6110,4.6281,10.7573,4.2312,4.3248,7.6942,7.6667
80,10.2626,9.1490,5.1020,5.5826,5.3564,8.4512,8.6787,10.6019,5.2916,4.6323,11.2691,4.3902,4.3718,6.1923,6.2057
88,10.9389,9.4260,5.1026,5.5820,5.3533,8.9937,9.2456,11.1419,4.6146,4.6360,11.2232,4.2343,4.3309,6.3214,6.3458
96,12.0103,10.7218,5.0995,5.5931,5.3515,10.2938,10.4050,12.5184,4.6042,4.6336,11.1829,4.2299,4.3247,6.4014,5.9501
104,12.8065,11.3168,5.0995,5.5778,5.3484,11.2208,11.0514,13.5556,4.6024,4.6360,11.2012,4.2428,4.3235,4.8745,4.9100
112,13.7836,11.5186,5.0958,5.5839,5.3514,12.2414,12.0396,15.9136,4.6274,4.6110,9.9286,4.2311,4.3761,4.8336,4.8403
120,14.1548,11.6764,5.1007,5.5802,5.3442,12.4206,12.3619,15.1938,4.6482,4.6335,9.9501,4.2428,5.2751,3.9884,4.1382
128,14.9258,15.0543,5.1201,5.6682,5.3990,13.2303,14.6537,18.0760,4.6614,4.6629,10.4945,4.3136,4.3503,4.6072,4.7240
136,15.0023,12.5745,6.2468,6.9982,7.3132,13.1386,12.7274,16.0067,6.1192,6.1788,12.6426,5.3578,5.5833,7.1839,7.1992
144,15.7369,12.6464,6.2560,6.9936,7.3062,13.6692,13.6355,17.1847,6.1160,6.1627,13.3742,5.4701,5.5558,7.0150,8.1073
152,15.8500,12.6342,6.2407,6.9997,7.3429,13.7816,13.6424,16.9102,6.1222,6.1596,17.2810,5.3379,5.5451,8.5599,8.5966
160,15.8225,13.7357,6.2437,6.9883,7.3139,13.8190,13.5116,17.3300,6.1176,6.1573,14.6407,5.5581,5.5611,8.4659,8.4942
168,16.2001,14.0712,6.2567,6.9937,7.2779,13.8878,13.8962,17.2129,6.0885,6.1276,15.3814,5.3257,5.5038,8.4712,8.4254
176,16.0044,14.3931,6.2070,6.9661,7.2719,13.9290,13.8740,17.1724,6.0886,6.1344,14.5276,5.3150,5.5191,8.9108,8.9796
184,15.9502,14.4695,6.1894,6.9263,7.2367,14.0652,13.8656,17.6502,6.0596,6.1176,15.9004,5.3487,5.5557,8.8840,8.9276
192,16.2108,15.1521,7.2275,6.9898,7.3093,14.4266,16.5563,21.0288,6.1192,6.1596,16.4034,5.3440,5.5543,8.4369,8.4697
200,16.1114,14.0208,6.2461,6.9615,7.2979,14.1615,13.7433,17.6456,6.0909,6.1260,17.5034,5.3181,5.5306,8.0095,7.8941
208,16.2146,14.2180,6.2063,6.9584,7.2788,14.4878,14.0163,19.1072,6.0916,6.1375,15.8684,5.3907,5.4984,5.9319,5.8485
216,16.4784,14.6881,6.2132,6.9523,7.2856,15.2117,14.2570,18.5698,6.0900,6.1336,15.9187,5.3173,5.5290,7.6471,7.5019
