size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
8,1.0000,0.1429,0.2857,0.2857,0.2857,0.7143,0.5714,0.7143,0.2857,0.2857,1.0000
16,1.0000,0.3750,0.2500,0.3750,0.3750,0.7500,0.6250,0.8750,0.2500,0.2500,1.0000
24,1.0000,0.4545,0.2727,0.2727,0.2727,0.8182,0.8182,0.9091,0.2727,0.2727,0.8182
32,1.0000,0.6154,0.2308,0.3077,0.2308,0.7692,0.7692,1.0000,0.2308,0.2308,0.6923
40,1.0000,0.7500,0.3333,0.3333,0.2500,0.8333,0.8333,1.0000,0.2500,0.2500,0.7500
48,1.0000,0.6667,0.3333,0.3333,0.2500,0.7500,0.8333,1.0000,0.2500,0.2500,0.7500
56,1.0000,0.6923,0.2308,0.3077,0.3077,0.8462,0.9231,1.0000,0.2308,0.2308,0.6923
64,1.0000,0.7692,0.3077,0.3077,0.2308,0.8462,0.8462,1.0000,0.2308,0.2308,0.6923
72,1.0000,0.6154,0.3846,0.3846,0.3846,0.8462,0.9231,1.0000,0.3077,0.3077,0.8462
80,1.0000,0.7143,0.3571,0.3571,0.3571,0.8571,0.7857,1.0000,0.2857,0.2857,0.7857
88,1.0000,0.7692,0.3846,0.3846,0.3846,0.8462,0.8462,1.0000,0.3077,0.3077,0.8462
96,1.0000,0.7333,0.3333,0.3333,0.3333,0.8667,0.8667,1.0000,0.2667,0.2667,0.7333
104,1.0000,0.7143,0.3571,0.3571,0.3571,0.8571,1.7143,1.0714,0.2857,0.2857,0.7857
112,1.0000,0.7333,0.3333,0.3333,0.3333,0.9333,0.9333,1.0667,0.2667,0.2667,0.7333
120,1.0000,0.7333,0.3333,0.3333,0.3333,0.9333,0.9333,1.1333,0.2667,0.2667,0.7333
128,1.0000,0.7500,0.3125,0.3125,0.3125,0.9375,0.9375,1.0625,0.2500,1.8750,0.6875
136,1.0000,0.7647,0.3529,0.3529,0.3529,0.8824,0.8824,1.0000,0.2941,0.2941,0.7647
144,1.0000,0.7647,0.3529,0.3529,0.3529,0.8824,0.8824,1.0588,0.2941,0.2941,0.7647
152,1.0000,0.6875,0.3750,0.3750,0.3750,0.8750,0.9375,1.0625,0.3125,0.3125,0.8125
160,1.0000,0.8125,0.3750,0.3750,0.3750,0.9375,0.9375,1.0625,0.3125,0.3125,0.8125
168,1.0000,0.7647,0.3529,0.3529,0.3529,0.9412,0.8824,1.0588,0.2941,0.2941,0.7647
176,1.0000,0.7647,0.3529,0.3529,0.3529,0.9412,0.8824,1.1176,0.2941,0.2941,0.7647
184,1.0000,0.7647,0.3529,0.3529,0.3529,0.8824,0.8235,1.0588,0.2941,0.2941,0.7647
192,1.0000,0.7647,0.3529,0.3529,0.8235,0.8824,0.8824,1.0588,0.2941,0.2941,0.7647
200,1.0000,0.7778,0.3333,0.3333,0.3333,0.8889,0.8889,1.1111,0.2778,0.2778,0.7222
208,1.0000,0.7778,0.3333,0.3333,0.3333,0.9444,0.8889,1.1667,0.2778,0.2778,0.7222
216,1.0000,0.7778,0.3333,0.3333,0.3333,1.0000,0.8889,1.1111,0.2778,0.2778,0.7222
224,1.0000,0.7368,0.3158,0.3158,0.3158,0.9474,0.8947,1.1053,0.2632,0.2632,0.6842
232,1.0000,0.7222,0.3333,0.3333,0.3333,0.8889,0.9444,1.1667,0.2778,0.2778,0.7222
240,1.0000,0.2241,0.1034,0.1034,0.1034,0.2931,0.2931,0.3621,0.0862,0.0862,0.2241
248,1.0000,0.7368,0.3158,0.3158,0.3158,0.9474,1.0000,1.2105,0.2632,0.2632,0.6842
256,1.0000,0.7500,0.5000,0.5000,0.5000,0.9500,1.0000,1.3000,1.8500,0.4500,1.2000
264,1.0000,0.8333,0.5000,0.5417,0.5000,0.8750,0.8750,1.2083,0.4583,0.4583,1.1667
272,1.0000,0.7917,0.5000,0.5417,1.7500,0.8750,0.8750,1.2500,0.4583,0.4583,1.2083
280,1.0000,0.7917,0.5000,0.5417,0.5000,0.9167,0.8333,1.2083,0.4583,0.4583,1.1667
288,1.0000,0.7500,0.5000,0.5417,0.5000,0.8750,0.8333,1.1667,0.4583,0.4583,1.1667
296,1.0000,0.7619,0.3810,0.3810,0.3810,0.9524,0.9048,1.2381,0.3333,0.3333,0.8095
304,1.0000,0.7143,0.3810,0.3810,0.3810,0.9048,0.8571,1.1429,0.3333,0.3333,0.8095
312,1.0000,0.3659,0.1951,0.1951,0.1951,0.4878,0.4878,0.6098,0.1707,0.1707,0.4146
320,1.0000,0.7500,0.4000,0.4000,0.4000,1.0000,1.0000,1.2000,0.3500,0.3500,0.8500
328,1.0000,0.7619,0.3810,0.3810,0.3810,0.9048,0.8571,1.1905,0.3333,0.3333,0.8095
336,1.0000,0.7619,0.3810,0.3810,0.3810,0.9524,0.9048,1.1905,0.3333,0.3333,0.8095
344,1.0000,0.7619,0.3810,0.3810,0.3810,0.9524,0.9048,1.1905,0.3333,0.3333,0.8095
352,1.0000,0.7619,0.3810,0.3810,0.3810,0.9524,0.9048,1.1905,0.3333,0.3333,0.8095
360,1.0000,0.7619,0.3810,0.3810,0.3810,0.9524,0.9048,1.1905,0.3333,0.3333,0.8095
368,1.0000,0.8095,0.3810,0.3810,0.3810,1.4762,0.9048,1.2381,0.3333,0.3333,0.8095
376,1.0000,0.8095,0.3810,0.3810,0.3810,0.9048,0.9048,1.1905,0.3333,0.3333,0.8095
384,1.0000,0.7619,0.3810,0.3810,0.3810,0.9524,0.9048,1.2381,0.3333,0.3333,0.8095
392,1.0000,0.7727,0.3636,0.3636,0.3636,0.9091,0.8636,1.1818,0.3182,0.3182,0.7727
400,1.0000,0.7619,0.3810,0.3810,0.3810,0.9524,0.9048,1.2381,0.3333,0.3333,0.8095
