size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
8,6.1563,1.6845,1.7660,1.7635,1.8726,4.8027,4.4780,5.6154,1.8198,2.2290,6.8992
16,6.8752,3.4952,2.7129,2.7454,2.5629,4.3477,4.2644,5.2129,2.2544,2.2549,6.8751
24,10.0938,6.5529,3.1241,3.5085,2.8823,7.2333,7.1995,8.5096,4.1432,2.8810,7.7122
32,12.6562,6.7183,2.9647,3.5618,2.8830,9.7257,8.5818,10.2114,2.9207,2.7136,7.9112
40,11.6045,8.6670,3.7486,4.4936,3.6410,8.9453,8.3728,10.6447,3.3793,3.3984,8.5332
48,15.3443,8.5118,5.4522,4.2936,3.5322,8.7019,8.8355,10.7724,3.3799,3.4111,8.5380
56,19.8767,8.4213,3.4415,4.3388,3.5353,7.5167,12.4280,11.0955,5.4626,3.5061,8.6943
64,12.9815,7.7600,3.8809,4.4843,3.6443,9.3165,8.7681,10.9232,3.3793,3.4037,8.5309
72,16.6555,12.8819,4.6024,5.6133,4.3733,12.1487,11.5750,14.5935,4.3126,4.1990,9.3918
80,14.2278,11.2723,4.2935,5.5978,4.4521,10.7410,10.6982,12.9026,4.1678,9.8865,17.2657
88,13.6238,12.5652,16.7148,9.1552,4.3593,11.0580,11.0684,13.1584,4.2085,4.2501,9.3951
96,13.7112,10.7206,4.6642,5.5853,4.6104,10.4269,10.1942,12.4843,4.1690,4.1965,9.3929
104,14.6960,11.8678,4.3696,8.3849,4.4214,11.3401,11.0021,13.0046,4.6585,4.2491,9.3946
112,17.3682,19.5385,4.3110,7.9610,4.4425,13.6853,13.1775,14.7710,4.2057,4.9713,9.3995
120,18.0763,13.9865,4.3045,5.5519,4.2648,14.4169,14.7059,16.7848,4.3898,4.3156,9.3941
128,20.5266,14.4705,4.7753,5.6430,4.4405,14.3955,14.3331,16.6086,5.8340,4.4611,9.4068
136,18.5432,15.0692,5.4463,7.0860,5.9122,16.1734,14.2845,16.4501,6.1900,6.2158,11.4987
