size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
8,5.5461,1.6537,1.6559,1.6564,1.8646,3.1426,3.1765,3.9329,1.5232,1.5575,3.7525,1.8627,1.8665,1.7665,1.8375
16,6.1169,2.3635,2.0466,2.2554,2.2552,3.9918,4.0472,4.6696,2.0481,2.0457,4.7994,2.0469,2.1501,3.6615,4.0850
24,6.3326,2.9924,2.4806,2.9865,2.6734,4.2389,4.3248,5.2445,2.6728,2.5761,6.3313,2.5698,2.5697,2.1567,2.5826
32,6.5127,3.3651,2.6362,2.9868,2.9804,4.7441,4.9657,5.9962,2.4655,2.5811,6.5045,2.5706,2.5707,2.7395,3.2013
40,9.8369,4.6435,3.0241,3.6002,3.3024,5.5326,5.8513,6.9321,3.1960,3.4518,8.2359,3.0570,3.1584,5.0478,5.9748
48,9.3107,5.2859,3.0169,3.6094,3.3036,6.1922,6.9844,7.7195,3.1950,3.4389,8.9044,3.1122,3.1577,4.6944,5.5071
56,8.3100,5.7171,3.0215,3.7266,3.9274,6.6275,6.6348,8.5483,3.1669,3.4304,10.2826,3.0598,3.1351,2.8755,3.5474
64,15.2572,7.9576,3.0967,3.6170,3.9252,8.8547,10.5456,10.7676,3.1969,3.4361,10.7308,3.0729,3.1388,3.4700,4.2867
72,11.8139,9.8508,3.9349,4.7025,4.2899,9.7127,10.7839,11.7879,4.3055,4.7181,12.1857,3.9270,4.1581,8.4985,9.7478
80,10.7904,10.4239,3.9326,4.6805,4.2839,8.8549,9.3191,11.3719,4.3051,4.7179,11.3319,6.6157,4.1599,6.5424,7.8529
88,12.3563,10.5818,4.0820,4.8293,4.4479,10.5542,9.8725,11.7973,4.4476,4.8840,11.4289,4.0190,4.2786,6.5983,7.7094
96,12.5046,11.5177,4.0660,4.9234,4.4733,11.5830,11.4496,13.3890,4.9345,4.9682,37.9001,4.1181,5.0394,6.7543,9.1816
104,18.0216,15.1577,4.1295,4.9057,4.4635,13.9219,11.5512,13.7947,4.4593,4.8989,11.0690,4.0693,4.2740,4.7457,5.9584
112,17.3578,12.5315,4.0708,4.9177,4.4690,12.1296,12.8119,15.2282,4.4664,4.8937,9.5675,4.0313,4.2756,4.6762,5.8566
120,17.4854,12.3503,4.0614,4.9199,4.4639,12.2419,13.6018,14.8269,4.4615,4.8929,9.5891,4.0273,4.3156,3.7501,9.8674
128,19.1279,13.1818,4.0652,5.7823,4.4603,12.9306,15.2734,15.6653,4.4572,4.8937,10.2696,4.1205,4.3599,4.9393,5.5747
136,19.5312,15.3650,4.9853,5.9764,5.5652,13.8613,13.4725,15.7276,5.6338,6.0570,12.4279,6.8735,5.3536,7.8081,9.0362
