size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
8,1.0000,0.2982,0.2986,0.2987,0.3362,0.5666,0.5728,0.7091,0.2746,0.2808,0.6766,0.3359,0.3365,0.3185,0.3313
16,1.0000,0.3864,0.3346,0.3687,0.3687,0.6526,0.6616,0.7634,0.3348,0.3344,0.7846,0.3346,0.3515,0.5986,0.6678
24,1.0000,0.4725,0.3917,0.4716,0.4222,0.6694,0.6829,0.8282,0.4221,0.4068,0.9998,0.4058,0.4058,0.3406,0.4078
32,1.0000,0.5167,0.4048,0.4586,0.4576,0.7284,0.7625,0.9207,0.3786,0.3963,0.9987,0.3947,0.3947,0.4206,0.4916
40,1.0000,0.4721,0.3074,0.3660,0.3357,0.5624,0.5948,0.7047,0.3249,0.3509,0.8372,0.3108,0.3211,0.5132,0.6074
48,1.0000,0.5677,0.3240,0.3877,0.3548,0.6651,0.7501,0.8291,0.3432,0.3693,0.9564,0.3343,0.3391,0.5042,0.5915
56,1.0000,0.6880,0.3636,0.4484,0.4726,0.7975,0.7984,1.0287,0.3811,0.4128,1.2374,0.3682,0.3773,0.3460,0.4269
64,1.0000,0.5216,0.2030,0.2371,0.2573,0.5804,0.6912,0.7057,0.2095,0.2252,0.7033,0.2014,0.2057,0.2274,0.2810
72,1.0000,0.8338,0.3331,0.3980,0.3631,0.8221,0.9128,0.9978,0.3644,0.3994,1.0315,0.3324,0.3520,0.7194,0.8251
80,1.0000,0.9660,0.3645,0.4338,0.3970,0.8206,0.8636,1.0539,0.3990,0.4372,1.0502,0.6131,0.3855,0.6063,0.7278
88,1.0000,0.8564,0.3304,0.3908,0.3600,0.8542,0.7990,0.9548,0.3599,0.3953,0.9249,0.3253,0.3463,0.5340,0.6239
96,1.0000,0.9211,0.3252,0.3937,0.3577,0.9263,0.9156,1.0707,0.3946,0.3973,3.0309,0.3293,0.4030,0.5401,0.7343
104,1.0000,0.8411,0.2291,0.2722,0.2477,0.7725,0.6410,0.7655,0.2474,0.2718,0.6142,0.2258,0.2372,0.2633,0.3306
112,1.0000,0.7220,0.2345,0.2833,0.2575,0.6988,0.7381,0.8773,0.2573,0.2819,0.5512,0.2322,0.2463,0.2694,0.3374
120,1.0000,0.7063,0.2323,0.2814,0.2553,0.7001,0.7779,0.8480,0.2552,0.2798,0.5484,0.2303,0.2468,0.2145,0.5643
128,1.0000,0.6891,0.2125,0.3023,0.2332,0.6760,0.7985,0.8190,0.2330,0.2558,0.5369,0.2154,0.2279,0.2582,0.2914
136,1.0000,0.7867,0.2552,0.3060,0.2849,0.7097,0.6898,0.8053,0.2885,0.3101,0.6363,0.3519,0.2741,0.3998,0.4627
144,1.0000,0.8249,0.2942,0.3536,0.3282,0.9138,0.9017,1.1103,0.3325,0.3583,0.7826,0.2871,0.3112,0.4973,0.5314
152,1.0000,0.5682,0.1998,0.2396,0.3513,0.6050,0.5619,0.6719,0.2261,0.2445,0.5624,0.1965,0.2131,0.3642,0.4264
160,1.0000,0.8976,0.2845,0.3377,0.3190,0.7634,0.7855,0.9775,0.3191,0.3474,1.0011,0.2772,0.3006,0.5141,0.5824
168,1.0000,1.0327,0.2944,0.3533,0.3822,0.8422,0.8486,1.1909,0.3339,0.3610,0.8738,0.2901,0.3141,0.5258,0.6165
176,1.0000,0.7709,0.2439,0.2929,0.2773,0.7173,0.6933,0.8089,0.2765,0.2993,0.7068,0.2400,0.2589,0.4803,0.5445
